130	161	224
131	161	226
131	162	225
130	160	225
130	161	224
128	158	223
126	159	222
130	160	225
129	162	225
130	162	227
131	164	227
132	164	229
133	166	229
131	166	230
132	167	231
132	164	229
132	164	229
133	165	230
133	165	230
133	165	230
132	164	229
131	163	228
131	163	228
129	161	226
129	161	226
130	162	227
131	163	228
131	163	228
132	164	229
133	165	230
131	166	230
126	164	228
124	165	228
123	163	228
123	164	227
123	163	228
123	164	227
123	163	228
123	164	227
124	164	229
122	163	226
120	160	225
117	158	221
116	156	221
115	156	219
115	155	220
117	155	220
115	149	219
116	148	221
115	147	220
114	146	219
113	145	218
112	144	217
112	144	217
111	143	216
112	144	217
112	143	218
111	142	217
110	141	216
109	140	215
108	139	214
107	138	213
106	138	211
108	140	211
109	142	211
111	144	213
113	146	215
116	149	218
118	151	220
120	153	222
121	155	221
121	154	223
121	155	221
121	155	221
121	155	221
121	155	221
121	155	221
121	155	221
120	156	220
111	152	214
107	151	210
105	149	210
103	147	206
105	146	208
106	148	207
108	149	211
110	152	211
113	152	214
113	153	212
113	152	214
113	153	212
115	152	214
113	153	212
116	153	215
114	154	213
109	149	207
107	150	207
109	149	207
108	151	208
110	150	208
109	152	209
111	151	209
109	152	209
110	150	208
108	151	208
111	151	209
109	152	209
111	151	209
108	151	208
109	149	207
106	149	206
106	152	206
104	150	204
102	148	202
101	147	201
102	148	202
102	148	202
101	147	201
100	146	200
100	144	198
99	143	197
98	142	196
97	141	195
95	139	193
94	138	192
95	136	191
94	135	190
96	133	189
96	133	189
95	132	190
95	132	188
94	131	189
147	166	233
146	165	232
146	165	232
146	165	232
146	165	232
147	166	233
148	167	234
149	168	235
145	164	231
145	164	231
144	163	230
144	164	229
145	164	231
146	166	231
148	167	234
147	169	234
145	169	235
144	171	235
143	169	235
139	166	230
133	159	225
130	157	221
130	156	222
132	159	223
135	161	227
135	162	226
135	161	227
135	162	226
135	161	227
135	162	226
135	161	227
134	162	227
132	162	227
132	162	227
133	162	229
133	163	228
133	162	229
132	162	227
131	160	227
131	161	226
132	161	228
131	161	226
130	159	226
131	161	226
133	162	229
134	164	229
133	162	229
130	162	227
125	157	223
124	156	221
122	154	220
121	153	218
121	153	219
123	155	220
125	157	223
125	160	224
129	161	227
128	163	227
128	162	228
129	164	228
130	164	230
130	165	229
131	165	231
131	165	231
127	159	225
129	161	227
131	163	229
132	164	230
132	164	230
130	162	228
127	159	225
124	156	222
124	156	222
124	156	222
125	157	223
126	158	224
127	159	225
128	160	226
129	161	227
127	161	227
128	162	228
125	160	226
124	159	227
123	158	224
123	158	226
124	159	225
123	158	226
123	158	224
126	161	229
125	160	226
124	159	227
122	157	223
120	155	223
118	153	219
116	151	219
115	150	218
113	145	216
115	145	216
115	145	216
115	145	216
115	144	218
114	143	217
114	143	218
114	143	218
113	142	217
112	140	217
111	139	216
109	137	214
108	135	215
108	135	215
108	135	215
108	136	213
107	137	208
109	141	207
113	145	211
117	149	215
120	152	218
122	154	220
121	155	221
122	157	221
119	153	219
119	154	218
118	154	218
118	154	218
118	154	218
117	153	217
117	154	216
115	154	216
106	147	209
107	148	210
102	143	206
92	133	195
86	127	190
91	132	194
101	142	205
106	147	209
103	144	207
105	146	208
108	149	212
111	152	214
114	152	216
112	153	215
112	150	214
109	150	212
105	147	206
103	148	205
106	149	206
105	150	207
108	151	208
108	153	210
110	153	210
109	154	211
110	153	210
107	152	209
107	150	207
105	150	207
108	151	208
105	150	207
106	149	206
104	147	204
104	147	204
103	146	203
102	145	202
101	144	201
101	144	201
101	144	201
101	144	201
102	145	202
101	141	199
100	140	198
98	138	196
94	134	192
91	131	189
