130	161	224	1
131	161	226	1
131	162	225	1
130	160	225	1
130	161	224	1
128	158	223	1
126	159	222	1
130	160	225	1
129	162	225	1
130	162	227	1
131	164	227	1
132	164	229	1
133	166	229	1
131	166	230	1
132	167	231	1
132	164	229	1
132	164	229	1
133	165	230	1
133	165	230	1
133	165	230	1
132	164	229	1
131	163	228	1
131	163	228	1
129	161	226	1
129	161	226	1
130	162	227	1
131	163	228	1
131	163	228	1
132	164	229	1
133	165	230	1
131	166	230	1
126	164	228	1
124	165	228	1
123	163	228	1
123	164	227	1
123	163	228	1
123	164	227	1
123	163	228	1
123	164	227	1
124	164	229	1
122	163	226	1
120	160	225	1
117	158	221	1
116	156	221	1
115	156	219	1
115	155	220	1
117	155	220	1
115	149	219	1
116	148	221	1
115	147	220	1
114	146	219	1
113	145	218	1
112	144	217	1
112	144	217	1
111	143	216	1
112	144	217	1
112	143	218	1
111	142	217	1
110	141	216	1
109	140	215	1
108	139	214	1
107	138	213	1
106	138	211	1
108	140	211	1
109	142	211	1
111	144	213	1
113	146	215	1
116	149	218	1
118	151	220	1
120	153	222	1
121	155	221	1
121	154	223	1
121	155	221	1
121	155	221	1
121	155	221	1
121	155	221	1
121	155	221	1
121	155	221	1
120	156	220	1
111	152	214	1
107	151	210	1
105	149	210	1
103	147	206	1
105	146	208	1
106	148	207	1
108	149	211	1
110	152	211	1
113	152	214	1
113	153	212	1
113	152	214	1
113	153	212	1
115	152	214	1
113	153	212	1
116	153	215	1
114	154	213	1
109	149	207	1
107	150	207	1
109	149	207	1
108	151	208	1
110	150	208	1
109	152	209	1
111	151	209	1
109	152	209	1
110	150	208	1
108	151	208	1
111	151	209	1
109	152	209	1
111	151	209	1
108	151	208	1
109	149	207	1
106	149	206	1
106	152	206	1
104	150	204	1
102	148	202	1
101	147	201	1
102	148	202	1
102	148	202	1
101	147	201	1
100	146	200	1
100	144	198	1
99	143	197	1
98	142	196	1
97	141	195	1
95	139	193	1
94	138	192	1
95	136	191	1
94	135	190	1
96	133	189	1
96	133	189	1
95	132	190	1
95	132	188	1
94	131	189	1
147	166	233	1
146	165	232	1
146	165	232	1
146	165	232	1
146	165	232	1
147	166	233	1
148	167	234	1
149	168	235	1
145	164	231	1
145	164	231	1
144	163	230	1
144	164	229	1
145	164	231	1
146	166	231	1
148	167	234	1
147	169	234	1
145	169	235	1
144	171	235	1
143	169	235	1
139	166	230	1
133	159	225	1
130	157	221	1
130	156	222	1
132	159	223	1
135	161	227	1
135	162	226	1
135	161	227	1
135	162	226	1
135	161	227	1
135	162	226	1
135	161	227	1
134	162	227	1
132	162	227	1
132	162	227	1
133	162	229	1
133	163	228	1
133	162	229	1
132	162	227	1
131	160	227	1
131	161	226	1
132	161	228	1
131	161	226	1
130	159	226	1
131	161	226	1
133	162	229	1
134	164	229	1
133	162	229	1
130	162	227	1
125	157	223	1
124	156	221	1
122	154	220	1
121	153	218	1
121	153	219	1
123	155	220	1
125	157	223	1
125	160	224	1
129	161	227	1
128	163	227	1
128	162	228	1
129	164	228	1
130	164	230	1
130	165	229	1
131	165	231	1
131	165	231	1
127	159	225	1
129	161	227	1
131	163	229	1
132	164	230	1
132	164	230	1
130	162	228	1
127	159	225	1
124	156	222	1
124	156	222	1
124	156	222	1
125	157	223	1
126	158	224	1
127	159	225	1
128	160	226	1
129	161	227	1
127	161	227	1
128	162	228	1
125	160	226	1
124	159	227	1
123	158	224	1
123	158	226	1
124	159	225	1
123	158	226	1
123	158	224	1
126	161	229	1
